video ID,Title,No. of Likes,"No, of Comments"
-egQ79OrYCs,THE LAST AIRBENDER (2010) | Hollywood.com Movie Trailers | #movies #movietrailers,22753,11220
ByAn8DF8Ykk,Avatar: The Last Airbender | Official Trailer | Netflix,299073,26074
sVxPH58n_H8,🔴LIVE: Avatar: The Last Airbender - Season One Marathon 🌊 | Book 1: Water | Avatar,832,0
2fyAuOHclNU,The Last Airbender being a disappointment.,24583,1824
3y8a_TFL_KQ,AVATAR Full Movie 2024: The Way of Water | Final Battle of Pandora | FullHDvideos4me (Game Movie),6052,70
waJKJW_XU90,Avatar: The Last Airbender | Official Teaser | Netflix,460727,41168
PLtgIILX7E8,AVATAR Full Movie 2023: Fallen Kingdom | Superhero FXL Action Movies 2023 in English (Game Movie),245981,1852
jdTekqoZjKc,Avatar Earth Bending Scene,2798,624
2r71I8lvTIA,The Last Airbender Film: How it Disrespected a Great Series (Avatar Video Essay),157229,27432
U7cVZD0idBw,The Avatar wins a war with a Tsunami | The Last Airbender | CLIP,23429,1199
3G6J-ITWekA,Jake Wakes up in his Avatar Body - AVATAR (4k Movie Clip),25174,709
WDFr1O_GeAQ,Avatar (2009) - Best Scenes,19365,645
nsO1isT60h8,Destruction of Home Tree - AVATAR (4k Movie Clip),5320,779
YXtWPVFk5TQ,Avatar 3  Official Trailer | James Cameron  | 20th Century Studios | Avatar 3 Trailer,41867,1530
nxjOFZqtLJc,AVATAR 3 Official Trailer (2024) | 20th Century Studios | Disney+,24772,651
mdhEj_rG80Y,AVATAR - Movie Behind the Scenes | Making of,9882,153
MgV9vymLIdQ,The Last Airbender is the Worst Film Ever Made — HERE&#39;S WHY,117273,14760
nYWw8nG3qMQ,(Avatar) The Last Airbender - Caravan of Garbage,16502,1135
0sJeBiUCIt4,AVATAR Clip - Final Battle (2009) James Cameron,193374,3729
HR2kbOK8i6I,The Last Airbender (2010) - Earthbenders Revolt! Scene (2/10) | Movieclips,79370,0
Nqt6-rPGGEo,The Last Airbender (2010) - The Avatar Escapes Scene (1/10) | Movieclips,7310,0
ofvrOdrO9gY,Neytiri saves Jake (Ending Scene) - AVATAR (4k Movie Clip),21697,1001
X8SVkfbt8cs,Avatar: The Way of Water,21850,1789
Hj6JCTAqFOo,AVATAR 3 Full Movie 2023 Fallen Kingdom HD,563,18
bGeQbIxfQxM,The Last Airbender Movie is a crime against humanity...,8306,634
k28m4wmL87E,the new Avatar remake is kinda dumb,38864,4177
XmxLG1HBNTk,AVATAR Full Movie 2023: Galactic Empire | Superhero FXL Action Movies 2023 in English (Game Movie),11171,90
Mvt1OWNk_Sg,The Final Battle (Part 1) - AVATAR (4k Movie Clip),6835,283
TgT8b62FJRI,Jake Meets Neytiri - AVATAR (4k Movie Clip),4510,188
72wSXxDBXs8,What Happened To Jake Sully&#39;s Human Body?,296206,1380
x0YqTRedPcw,If the Avatar movie was real,29494,1459
w8PmrLG6v5I,"BOLLYWOOD BLOCKBUSTER HINDI MOVIE - राजेश खन्ना ,शबाना आजमी और सचिन की सुपरहिट हिंदी मूवी - AVTAAR",97392,2272
RGx8rYbRVR4,Why People Hate Avatar: A Lesson In Lazy Commentary,31495,4800
V67Ytgs6KJo,Avatar: First Movie RECAP,10574,324
vAL6i0Dm0-8,The COOLEST Experience in Singapore! (Avatar 2) #shorts,682460,2531
sh_6yBEb1JQ,Avatar Live Action Versus🔥 | 10 comparisons between The last airbender and Avatar of Netflix 2024,1009,288
VTbcdqB1M00,Greatest Reaction to the Avatar 2009 Movie,463,79
gibD7STXJDg,I paid Sokka from Avatar the Last Airbender to say &quot;Hi&quot; to my Class...,72834,870
Xkw96oC3LnI,First Look at Team Avatar Movie Poster (2025),48828,1897
9eUpdJ6Ros0,Avatar: The Last Airbender E2 &quot;Warriors&quot; | Reaction &amp; Review | Avatar Kyoshi,447,64
jD08ON_w97U,Netflix Avatar is a BIZARRE Mixed Bag (Season Review),3099,2082
Gniyd5RzARE,Netflix&#39;s Avatar has some red flags 🚩🚩 #avatar #netflix #shorts #anime,12965,1049
5PSNL1qE6VY,Avatar | Official Trailer (HD) | 20th Century FOX,81804,8941
xEmlE9Ianuo,Avatar: The Last Airbender | Final Trailer | Netflix,80798,0
lc0gis09VZs,60 MINUTES from Avatar: The Last Airbender - Book 1: Water 🌊 | Episodes 1 - 11 | @TeamAvatar,14327,176
-ig9A0s0gc4,Avatar the Last Airbender Episodes 1-4 Breakdown &amp; Review,3427,725
d9MyW72ELq0,Avatar: The Way of Water | Official Trailer,1042056,42955
VJDU4kO8ZI8,AVATAR Full Movie 2023: Na&#39;vi Journey | Superhero FXL Action Movies 2023 in English (Game Movie),66416,550
2xQV_af8MZI,Netflix’s Avatar - What A Piece Of S*** (Review),1923,1097
KDqaLSK_tlI,AVATAR: Characters Real Life Height’s,72439,919
